12c00000-14700000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
14700000-15640000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15640000-15680000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15680000-157c0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
157c0000-15800000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15800000-15900000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15900000-15940000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15940000-15e40000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15e40000-15e80000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15e80000-15fc0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
15fc0000-16000000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16000000-16080000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16080000-160c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
160c0000-16100000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16100000-16140000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16140000-161c0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
161c0000-16200000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16200000-16240000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16240000-16300000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
16300000-164c0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
164c0000-166c0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
166c0000-17580000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
17580000-175c0000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
175c0000-17640000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
17640000-17680000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
17680000-1adc0000 ---p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
1adc0000-52c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
708d9000-70b60000 rw-p 00000000 fd:00 1369                               /system/framework/arm64/boot.art
70b60000-70c4f000 rw-p 00000000 fd:00 1348                               /system/framework/arm64/boot-core-libart.art
70c4f000-70c85000 rw-p 00000000 fd:00 1360                               /system/framework/arm64/boot-okhttp.art
70c85000-70cc6000 rw-p 00000000 fd:00 1345                               /system/framework/arm64/boot-bouncycastle.art
70cc6000-70cd6000 rw-p 00000000 fd:00 1342                               /system/framework/arm64/boot-apache-xml.art
70cd6000-71596000 rw-p 00000000 fd:00 1354                               /system/framework/arm64/boot-framework.art
71596000-715c9000 rw-p 00000000 fd:00 1351                               /system/framework/arm64/boot-ext.art
715c9000-716c0000 rw-p 00000000 fd:00 1363                               /system/framework/arm64/boot-telephony-common.art
716c0000-716ce000 rw-p 00000000 fd:00 1366                               /system/framework/arm64/boot-voip-common.art
716ce000-716e3000 rw-p 00000000 fd:00 1357                               /system/framework/arm64/boot-ims-common.art
716e3000-716e6000 rw-p 00000000 fd:00 1339                               /system/framework/arm64/boot-android.test.base.art
716e6000-7179f000 r--p 00000000 fd:00 1370                               /system/framework/arm64/boot.oat
7179f000-71a35000 r-xp 000b9000 fd:00 1370                               /system/framework/arm64/boot.oat
71a35000-71a36000 rw-p 00000000 00:00 0                                  [anon:.bss]
71a36000-71a38000 r--s 00000000 fd:00 1383                               /system/framework/boot.vdex
71a38000-71a39000 r--p 0034f000 fd:00 1370                               /system/framework/arm64/boot.oat
71a39000-71a3a000 rw-p 00350000 fd:00 1370                               /system/framework/arm64/boot.oat
71a3a000-71a83000 r--p 00000000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71a83000-71b88000 r-xp 00049000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71b88000-71b89000 rw-p 00000000 00:00 0                                  [anon:.bss]
71b89000-71b8a000 r--s 00000000 fd:00 1376                               /system/framework/boot-core-libart.vdex
71b8a000-71b8b000 r--p 0014e000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71b8b000-71b8c000 rw-p 0014f000 fd:00 1349                               /system/framework/arm64/boot-core-libart.oat
71b8c000-71b9b000 r--p 00000000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71b9b000-71bc8000 r-xp 0000f000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71bc8000-71bc9000 rw-p 00000000 00:00 0                                  [anon:.bss]
71bc9000-71bca000 r--s 00000000 fd:00 1380                               /system/framework/boot-okhttp.vdex
71bca000-71bcb000 r--p 0003c000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71bcb000-71bcc000 rw-p 0003d000 fd:00 1361                               /system/framework/arm64/boot-okhttp.oat
71bcc000-71bd9000 r--p 00000000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71bd9000-71bf0000 r-xp 0000d000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71bf0000-71bf1000 rw-p 00000000 00:00 0                                  [anon:.bss]
71bf1000-71bf2000 r--s 00000000 fd:00 1375                               /system/framework/boot-bouncycastle.vdex
71bf2000-71bf3000 r--p 00024000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
71bf3000-71bf4000 rw-p 00025000 fd:00 1346                               /system/framework/arm64/boot-bouncycastle.oat
