# tracer: nop
#
# entries-in-buffer/entries-written: 7707/7707   #P:8
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
 send_target_man-200   [007] d..2  5073.973167: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5073.973178: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5073.973189: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5073.973204: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5073.973207: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-200   [007] d..2  5083.999078: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5083.999089: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5083.999104: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5083.999120: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5083.999123: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-200   [007] d..2  5094.025733: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5094.025744: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5094.025758: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5094.025775: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5094.025777: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-200   [007] d..2  5104.053225: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5104.053236: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5104.053250: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5104.053267: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5104.053270: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-200   [007] d..2  5114.079072: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5114.079084: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5114.079097: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5114.079114: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5114.079116: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-200   [007] d..2  5124.105745: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5124.105757: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5124.105771: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5124.105787: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5124.105789: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-200   [007] d..2  5134.133207: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5134.133218: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5134.133233: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5134.133250: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5134.133252: send_target_manager: send target manager - id, which_table : 7, 1
 send_target_man-200   [007] d..2  5144.159066: send_target_manager: send target manager - id, which_table : 2, 1
 send_target_man-200   [007] d..2  5144.159077: send_target_manager: send target manager - id, which_table : 3, 1
 send_target_man-200   [007] d..2  5144.159092: send_target_manager: send target manager - id, which_table : 5, 1
 send_target_man-200   [007] d..2  5144.159107: send_target_manager: send target manager - id, which_table : 6, 1
 send_target_man-200   [007] d..2  5144.159110: send_target_manager: send target manager - id, which_table : 7, 1
           <...>-32692 [007] ....  5149.924997: app_switch_start_handler: ###########switch start! foreground 10135#############
           <...>-32692 [007] ....  5149.925001: prefetch_handler: prefetch handler start! target(id,table): 0,0
           <...>-2922  [005] ...1  5149.928540: do_swap_page: id 0, table 1 || 0: 2922 7e9070c000
           <...>-2922  [005] ...1  5149.928557: do_swap_page: id 0, table 1 || 1: 2922 7e9070d000
           <...>-2922  [005] ...1  5149.928572: do_swap_page: id 0, table 1 || 2: 2922 7e9070e000
           <...>-2922  [005] ...1  5149.928584: do_swap_page: id 0, table 1 || 3: 2922 7e9070f000
           <...>-3197  [005] ...1  5150.054533: do_swap_page: id 0, table 1 || 4: 2922 7e8ff0e000
           <...>-32700 [005] ...1  5150.128136: do_swap_page: id 0, table 1 || 5: 32700 7f39400000
           <...>-32700 [005] ...1  5150.128398: do_swap_page: id 0, table 1 || 6: 32700 7fbe22d000
           <...>-32700 [005] ...1  5150.128633: do_swap_page: id 0, table 1 || 7: 32700 7fbf6fb000
           <...>-32700 [005] ...1  5150.128636: do_swap_page: id 0, table 1 || 8: 32700 7fbdcd6000
           <...>-32700 [005] ...1  5150.128641: do_swap_page: id 0, table 1 || 9: 32700 7fbf6fd000
           <...>-32700 [005] ...1  5150.128648: do_swap_page: id 0, table 1 || 10: 32700 7fbda11000
           <...>-32700 [005] ...1  5150.128659: do_swap_page: id 0, table 1 || 11: 32700 7fbe4bd000
           <...>-32700 [005] ...1  5150.128661: do_swap_page: id 0, table 1 || 12: 32700 7fbe4be000
           <...>-32700 [005] ...1  5150.128709: do_swap_page: id 0, table 1 || 13: 32700 7fbe424000
           <...>-32700 [005] ...1  5150.128713: do_swap_page: id 0, table 1 || 14: 32700 7fbe3c0000
           <...>-32700 [005] ...1  5150.133060: do_swap_page: id 0, table 1 || 15: 32700 7fbe5d6000
           <...>-32700 [005] ...1  5150.133302: do_swap_page: id 0, table 1 || 16: 32700 7fbe4c7000
           <...>-32700 [005] ...1  5150.133746: do_swap_page: id 0, table 1 || 17: 32700 7fbe4d6000
           <...>-32700 [006] ...1  5150.158905: do_swap_page: id 0, table 1 || 18: 32700 7fbe4db000
           <...>-32700 [006] ...1  5150.158916: do_swap_page: id 0, table 1 || 19: 32700 7fbe585000
           <...>-32700 [006] ...1  5150.158919: do_swap_page: id 0, table 1 || 20: 32700 7fbe4df000
           <...>-32700 [006] ...1  5150.162817: do_swap_page: id 0, table 1 || 21: 32700 7fbe584000
           <...>-32700 [006] ...1  5150.162827: do_swap_page: id 0, table 1 || 22: 32700 7fbe4e0000
           <...>-32700 [006] ...1  5150.162832: do_swap_page: id 0, table 1 || 23: 32700 7fbe48b000
           <...>-32700 [006] ...1  5150.162835: do_swap_page: id 0, table 1 || 24: 32700 7fbe48f000
           <...>-32700 [006] ...1  5150.162837: do_swap_page: id 0, table 1 || 25: 32700 7fbe521000
           <...>-32700 [006] ...1  5150.162860: do_swap_page: id 0, table 1 || 26: 32700 7fb9a6d000
           <...>-32700 [006] ...1  5150.162871: do_swap_page: id 0, table 1 || 27: 32700 7fb9a6c000
           <...>-32700 [006] ...1  5150.162875: do_swap_page: id 0, table 1 || 28: 32700 7fb9a6b000
           <...>-32700 [006] ...1  5150.162881: do_swap_page: id 0, table 1 || 29: 32700 7fb9a6e000
           <...>-32700 [006] ...1  5150.162889: do_swap_page: id 0, table 1 || 30: 32700 7fbe3c1000
           <...>-32700 [006] ...1  5150.163004: do_swap_page: id 0, table 1 || 31: 32700 7fbde23000
           <...>-32700 [006] ...1  5150.163019: do_swap_page: id 0, table 1 || 32: 32700 7fbaab3000
           <...>-32700 [006] ...1  5150.163185: do_swap_page: id 0, table 1 || 33: 32700 7fbc5be000
           <...>-32700 [006] ...1  5150.163209: do_swap_page: id 0, table 1 || 34: 32700 7fbbc7d000
           <...>-32700 [006] ...1  5150.163249: do_swap_page: id 0, table 1 || 35: 32700 7fbe168000
           <...>-32700 [006] ...1  5150.163482: do_swap_page: id 0, table 1 || 36: 32700 7f289b1000
           <...>-32700 [006] ...1  5150.163703: do_swap_page: id 0, table 1 || 37: 32700 7fbe1fb000
           <...>-32700 [006] ...1  5150.163707: do_swap_page: id 0, table 1 || 38: 32700 7fbe1d4000
           <...>-32700 [006] ...1  5150.163783: do_swap_page: id 0, table 1 || 39: 32700 7fbd8eb000
           <...>-32700 [006] ...1  5150.163795: do_swap_page: id 0, table 1 || 40: 32700 7fbd8e8000
           <...>-32700 [006] ...1  5150.163842: do_swap_page: id 0, table 1 || 41: 32700 7f28b24000
